Household_ID,AUDIO_QNT,DVS_QNT,EXPRESS_QNT,GIFT CARDS_QNT,HOME INS_QNT,IMAGING_QNT,INTABGIBLE_QNT,MAJORS_QNT,MOBILE_QNT,MUSIC_QNT,OTHER_QNT,P*S*T_QNT,PC HDWR_QNT,TELEVISION_QNT,VIDEO HDWR_QNT,WIRELESS_QNT,AUDIO_EXP,DVS_EXP,EXPRESS_EXP,GIFT CARDS_EXP,HOME INS_EXP,IMAGING_EXP,INTABGIBLE_EXP,MAJORS_EXP,MOBILE_EXP,MUSIC_EXP,OTHER_EXP,P*S*T_EXP,PC HDWR_EXP,TELEVISION_EXP,VIDEO HDWR_EXP,WIRELESS_EXP
100003544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97,0.0
100012312,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99,0.0,9.99,0.0,0.0
100016237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.99,0.0,0.0,0.0,0.0
100022945,0,0,0,0,0,1,0,0,2,0,0,5,1,0,0,0,0.0,0.0,0.0,0,0.0,259.99,0.0,0.0,24.98,0.0,0.0,193.95000000000002,149.99,0.0,0.0,0.0
100022976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,599.99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.99,0.0
100024091,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,823.0,0.0,0.0,0.0,0.0,0.0,1999.98,0.0,0.0
100024909,0,0,0,0,0,0,0,2,6,1,0,3,3,3,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,26.979999999999997,673.9200000000001,39.99,0.0,259.97,1519.97,178.97,0.0,0.0
100025614,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,94.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100025901,1,0,0,0,0,0,0,2,0,0,0,1,0,6,3,0,499.99,0.0,0.0,0,0.0,0.0,0.0,574.99,0.0,0.0,0.0,79.95,0.0,3744.8899999999994,319.94,0.0
100026342,0,0,0,0,0,2,0,0,0,0,0,8,6,0,1,0,0.0,0.0,0.0,0,0.0,89.98,0.0,0.0,0.0,0.0,0.0,509.9200000000001,1599.94,0.0,8.99,0.0
100031891,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.99,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.0,0.0,0.0,0.0
100033164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,399.97,0.0,0.0,0.0,0.0,0.0,0.0,80.97,0.0
100033277,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0.0,0.0,0.0,0,0.0,504.98,0.0,0.0,0.0,0.0,0.0,89.94,0.0,0.0,23.98,0.0
100033717,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.99,0.0,0.0,0.0,0.0
100035849,2,0,0,0,0,0,0,0,3,0,0,3,2,0,0,0,249.99,0.0,0.0,0,0.0,0.0,0.0,0.0,86.96999999999998,0.0,0.0,44.94,2149.9700000000003,0.0,0.0,0.0
100037757,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.99,219.97000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100039371,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1869.97,0.0,99.99,0.0,69.99,0.0,0.0,0.0,0.0
